                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.81965,                 1.2096,                 0.9209,                0.74078,                    0.8,                  0.995,                 0.7164,                 1.1506,                 1.4506,                0.97753,                      0,                      0,                      0
                      2,                0.72435,                 1.0533,                0.94612,                0.74219,                    0.8,                  0.995,                0.74625,                  1.138,                 1.4375,                0.97202,             1.1055e-05,             1.1055e-05,             1.1055e-05
                      3,                0.99023,                 1.2312,                0.88155,                0.75604,                    0.8,                  0.995,                 0.7164,                  1.095,                 1.4244,                0.99027,                2.2e-05,                2.2e-05,                2.2e-05
                      4,                 1.2546,                 1.4148,                0.96198,                0.73937,                    0.8,                  0.995,                 0.7562,                 1.0491,                 1.3854,                 1.0103,             3.2835e-05,             3.2835e-05,             3.2835e-05
                      5,                0.63516,                0.98502,                0.99246,                0.64401,                      1,                  0.995,                 0.7562,                 1.0032,                 1.3554,                 1.0145,              4.356e-05,              4.356e-05,              4.356e-05
                      6,                0.66868,                 1.0451,                0.83562,                0.59696,                      1,                  0.995,                 0.7761,                0.94012,                 1.3389,                 0.9969,             5.4175e-05,             5.4175e-05,             5.4175e-05
                      7,                0.76044,                 1.2556,                0.96695,                0.60004,                      1,                  0.995,                 0.7562,                0.88525,                 1.3475,                0.97964,              6.468e-05,              6.468e-05,              6.468e-05
                      8,                0.81227,                 1.4705,                0.87867,                0.59689,                      1,                  0.995,                 0.7761,                 0.8856,                 1.3577,                0.98292,             7.5075e-05,             7.5075e-05,             7.5075e-05
                      9,                0.75572,                 1.1444,                0.82317,                0.61611,                      1,                  0.995,                 0.7761,                0.80638,                  1.412,                0.96091,              8.536e-05,              8.536e-05,              8.536e-05
                     10,                0.86634,                 1.0712,                 1.0896,                0.65126,                    0.8,                  0.995,                0.78273,                0.77326,                  1.478,                 0.9534,             9.5535e-05,             9.5535e-05,             9.5535e-05
                     11,                0.93232,                 1.6118,                0.92165,                  0.757,                    0.8,                  0.995,                0.78273,                0.75102,                 1.5151,                0.95241,              0.0001056,              0.0001056,              0.0001056
                     12,                0.93223,                0.95563,                0.96375,                 0.7891,                    0.8,                  0.995,                  0.796,                0.77822,                 1.5382,                0.97286,             0.00011556,             0.00011556,             0.00011556
                     13,                 1.5537,                 1.7256,                 1.1738,                0.79862,                    0.8,                  0.995,                 0.8358,                 0.7475,                 1.5766,                 0.9588,              0.0001254,              0.0001254,              0.0001254
                     14,                 1.3154,                 2.4689,                0.88594,                0.76926,                    0.8,                  0.995,                 0.8358,                0.74581,                 1.5911,                0.94988,             0.00013514,             0.00013514,             0.00013514
                     15,                0.71868,                  1.069,                0.90719,                0.75316,                    0.8,                  0.995,                 0.8557,                0.77291,                 1.5148,                0.96045,             0.00014476,             0.00014476,             0.00014476
                     16,                0.95408,                 1.3987,                0.90051,                0.67707,                    0.8,                  0.995,                 0.8358,                0.75578,                 1.4507,                0.95799,             0.00015428,             0.00015428,             0.00015428
                     17,                 1.0575,                 1.4193,                0.88384,                0.65459,                      1,                  0.995,                 0.8159,                0.78276,                 1.3759,                0.97159,             0.00016368,             0.00016368,             0.00016368
                     18,                0.95225,                  1.339,                0.86465,                0.65459,                      1,                  0.995,                 0.8159,                0.78276,                 1.3759,                0.97159,             0.00017298,             0.00017298,             0.00017298
                     19,                0.95271,                 1.1008,                 1.1133,                0.61174,                      1,                  0.995,                 0.8159,                0.74395,                 1.2503,                0.96151,             0.00018216,             0.00018216,             0.00018216
                     20,                0.66799,                0.92571,                0.99242,                0.61174,                      1,                  0.995,                 0.8159,                0.74395,                 1.2503,                0.96151,             0.00019124,             0.00019124,             0.00019124
                     21,                 0.7034,                0.94387,                  0.965,                0.72447,                      1,                  0.995,                 0.8159,                0.71876,                 1.1394,                0.94405,              0.0002002,              0.0002002,              0.0002002
                     22,                0.96374,                 1.0143,                 0.9973,                0.72447,                      1,                  0.995,                 0.8159,                0.71876,                 1.1394,                0.94405,             0.00020906,             0.00020906,             0.00020906
                     23,                0.69124,                0.99799,                0.89665,                0.80731,                      1,                  0.995,                 0.8159,                0.72963,                 1.0558,                0.93868,              0.0002178,              0.0002178,              0.0002178
                     24,                0.70781,                 1.1245,                0.99206,                0.80731,                      1,                  0.995,                 0.8159,                0.72963,                 1.0558,                0.93868,             0.00022644,             0.00022644,             0.00022644
                     25,                 1.2516,                 1.2606,                0.97472,                0.79482,                      1,                  0.995,                 0.8159,                0.74383,                0.98263,                0.93298,             0.00023496,             0.00023496,             0.00023496
                     26,                 0.7014,                0.94859,                0.94953,                0.79482,                      1,                  0.995,                 0.8159,                0.74383,                0.98263,                0.93298,             0.00024338,             0.00024338,             0.00024338
                     27,                 1.5557,                 1.2399,                0.97368,                0.77493,                      1,                  0.995,                  0.796,                0.78371,                0.94862,                0.93881,             0.00025168,             0.00025168,             0.00025168
                     28,                0.89913,                  1.146,                 1.0708,                0.77493,                      1,                  0.995,                  0.796,                0.78371,                0.94862,                0.93881,             0.00025988,             0.00025988,             0.00025988
                     29,                0.83565,                 1.0713,                 1.0276,                0.74221,                      1,                  0.995,                  0.796,                0.77158,                0.89237,                0.93345,             0.00026796,             0.00026796,             0.00026796
                     30,                0.80699,                 1.0456,                0.99197,                0.74221,                      1,                  0.995,                  0.796,                0.77158,                0.89237,                0.93345,             0.00027594,             0.00027594,             0.00027594
                     31,                 1.0322,                 1.3498,                 0.9105,                0.67464,                      1,                  0.995,                  0.796,                 0.7674,                0.86554,                0.93067,              0.0002838,              0.0002838,              0.0002838
                     32,                0.73168,                 1.0185,                0.88766,                0.67464,                      1,                  0.995,                  0.796,                 0.7674,                0.86554,                0.93067,             0.00029156,             0.00029156,             0.00029156
                     33,                0.57194,                 1.0345,                 1.0069,                0.65343,                      1,                  0.995,                 0.7761,                0.72711,                0.82598,                0.93401,             0.00029921,             0.00029921,             0.00029921
                     34,                 1.2463,                 1.5954,                0.98885,                0.65343,                      1,                  0.995,                 0.7761,                0.72711,                0.82598,                0.93401,             0.00030674,             0.00030674,             0.00030674
                     35,                0.79698,                 1.1202,                0.94423,                0.66007,                      1,                  0.995,                 0.7761,                 0.7974,                0.79351,                 0.9514,             0.00031417,             0.00031417,             0.00031417
                     36,                0.54511,                 1.1197,                 1.0182,                0.66007,                      1,                  0.995,                 0.7761,                 0.7974,                0.79351,                 0.9514,             0.00032148,             0.00032148,             0.00032148
                     37,                 1.2265,                 1.1682,                0.97097,                0.66311,                      1,                  0.995,                 0.7363,                0.88976,                0.82513,                0.96999,             0.00032869,             0.00032869,             0.00032869
                     38,                0.83745,                 1.0137,                 1.1856,                0.66311,                      1,                  0.995,                 0.7363,                0.88976,                0.82513,                0.96999,             0.00033578,             0.00033578,             0.00033578
                     39,                 0.5457,                0.85393,                0.87205,                0.67083,                      1,                  0.995,                 0.7363,                0.91581,                0.87861,                0.96986,             0.00034277,             0.00034277,             0.00034277
                     40,                 1.4554,                 1.6774,                0.86577,                0.67083,                      1,                  0.995,                 0.7363,                0.91581,                0.87861,                0.96986,             0.00034964,             0.00034964,             0.00034964
                     41,                0.71568,                 1.0199,                0.91186,                0.69783,                      1,                  0.995,                 0.7164,                0.93903,                  0.996,                0.98429,             0.00035641,             0.00035641,             0.00035641
                     42,                 1.5598,                 1.5839,                 1.0398,                0.69783,                      1,                  0.995,                 0.7164,                0.93903,                  0.996,                0.98429,             0.00036306,             0.00036306,             0.00036306
                     43,                0.82727,                  1.001,                0.92766,                0.65773,                      1,                  0.995,                 0.7562,                0.92493,                 1.2048,                0.98883,             0.00036961,             0.00036961,             0.00036961
                     44,                0.81021,                  1.044,                0.97037,                0.65773,                      1,                  0.995,                 0.7562,                0.92493,                 1.2048,                0.98883,             0.00037605,             0.00037605,             0.00037605
                     45,                  1.272,                 1.8163,                0.96297,                0.85682,                    0.8,                  0.995,                0.77715,                0.84178,                 1.4801,                 0.9863,             0.00038237,             0.00038237,             0.00038237
                     46,                0.62864,                0.93582,                0.93797,                0.85682,                    0.8,                  0.995,                0.77715,                0.84178,                 1.4801,                 0.9863,             0.00038859,             0.00038859,             0.00038859
